01/05/2025; 14:39; 127.0.0.1; Willi; 127.0.0.1; Vini; msg:Ola
01/05/2025; 14:39; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 14:42; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 14:42; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 14:42; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 14:42; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:Ola
01/05/2025; 14:42; 127.0.0.1; Willi; 127.0.0.1; Vini; msg:Ola
01/05/2025; 14:42; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 14:42; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 14:49; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 14:49; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 14:49; 127.0.0.1; Vini; ; ; msg:ola
01/05/2025; 14:49; 127.0.0.1; Willi; ; ; msg:Ola
01/05/2025; 14:49; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:Ola
01/05/2025; 14:49; 127.0.0.1; Willi; 127.0.0.1; Vini; msg:Ola
01/05/2025; 14:49; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 14:49; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 14:58; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 14:58; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 14:58; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:opa
01/05/2025; 14:59; 127.0.0.1; Willi; 127.0.0.1; Vini; msg:Opa
01/05/2025; 14:59; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:Opa
01/05/2025; 14:59; 127.0.0.1; Vini; ; ; msg:Opa
01/05/2025; 14:59; 127.0.0.1; Willi; ; ; msg:Opa
01/05/2025; 14:59; 127.0.0.1; Willi; ; ; msg:asd
01/05/2025; 14:59; 127.0.0.1; Willi; ; ; msg:sad
01/05/2025; 14:59; 127.0.0.1; Willi; ; ; msg:as
01/05/2025; 14:59; 127.0.0.1; Willi; ; ; msg:sa
01/05/2025; 14:59; 127.0.0.1; Willi; ; ; msg:sad
01/05/2025; 14:59; 127.0.0.1; Willi; ; ; msg:sa
01/05/2025; 14:59; 127.0.0.1; Willi; ; ; msg:dsa
01/05/2025; 14:59; 127.0.0.1; Willi; ; ; msg:s
01/05/2025; 14:59; 127.0.0.1; Willi; ; ; msg:s
01/05/2025; 14:59; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 14:59; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 15:00; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 15:01; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 15:01; 127.0.0.1; Vini; ; ; msg:Vasco
01/05/2025; 15:01; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:Vasco
01/05/2025; 15:01; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 15:01; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 15:01; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 15:01; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 15:01; 127.0.0.1; Willi; ; ; msg:Vasco
01/05/2025; 15:01; 127.0.0.1; Willi; ; ; msg:waesd
01/05/2025; 15:01; 127.0.0.1; Willi; ; ; msg:asd
01/05/2025; 15:01; 127.0.0.1; Willi; ; ; msg:sad
01/05/2025; 15:01; 127.0.0.1; Willi; ; ; msg:sad
01/05/2025; 15:01; 127.0.0.1; Willi; ; ; msg:dsa
01/05/2025; 15:01; 127.0.0.1; Willi; ; ; msg:ds
01/05/2025; 15:01; 127.0.0.1; Willi; ; ; msg:dsa
01/05/2025; 15:01; 127.0.0.1; Willi; ; ; msg:dsa
01/05/2025; 15:01; 127.0.0.1; Willi; 127.0.0.1; Vini; msg:dsasdsad
01/05/2025; 15:02; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:asdasdsad
01/05/2025; 15:02; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 15:02; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 15:02; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 15:02; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 15:02; 127.0.0.1; Vini; ; ; msg:Ola
01/05/2025; 15:02; 127.0.0.1; Vini; 127.0.0.1; Willi; msg:Ola
01/05/2025; 15:02; 127.0.0.1; Willi; ; ; msg:Ola
